animals,geo,time,tablename
"Breeding sows, live weight 50 kg or over",Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",Switzerland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over",United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Covered sows,Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Covered sows,Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
Covered sows,Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,Switzerland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
Covered sows,United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Live swine, domestic species",Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Live swine, domestic species",Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Live swine, domestic species",Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species",Switzerland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Live swine, domestic species",United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Albania,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Austria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Belgium,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Bosnia and Herzegovina,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Bulgaria,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Croatia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Cyprus,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Czechia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Denmark,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Estonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",European Union - 15 countries (1995-2004),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",European Union - 25 countries (2004-2006),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",European Union - 27 countries (2007-2013),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",European Union - 27 countries (from 2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",European Union - 28 countries (2013-2020),"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Finland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",France,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Germany (until 1990 former territory of the FRG),"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Greece,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Hungary,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Iceland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Ireland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Italy,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Kosovo (under United Nations Security Council Resolution 1244/99),"[2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Latvia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Lithuania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Luxembourg,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Malta,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Montenegro,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Netherlands,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",North Macedonia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Poland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Portugal,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Romania,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Serbia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Slovakia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Slovenia,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Spain,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Sweden,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg",Switzerland,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",apro_mt_lspig
"Piglets, live weight of under 20 kg",United Kingdom,"[2013, 2014, 2015, 2016, 2017, 2018, 2019]",apro_mt_lspig
