"TIME","GEO","ANIMALS","UNIT","Value","Flag and Footnotes"
"1988","Albania","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1988","Albania","Live horses","Thousand heads (animals)",":",""
"1988","Albania","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","European Community - 12 countries (1986-1994)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","European Community - 12 countries (1986-1994)","Live horses","Thousand heads (animals)",":",""
"1989","European Community - 12 countries (1986-1994)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","European Community - 10 countries (1981-1985)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,687.66",""
"1989","European Community - 10 countries (1981-1985)","Live horses","Thousand heads (animals)",":",""
"1989","European Community - 10 countries (1981-1985)","Live asses, mules and hinnies","Thousand heads (animals)","421.15",""
"1989","European Community - 9 countries (1973-1980)","Live horses, asses, mules and hinnies","Thousand heads (animals)","1,379.23",""
"1989","European Community - 9 countries (1973-1980)","Live horses","Thousand heads (animals)",":",""
"1989","European Community - 9 countries (1973-1980)","Live asses, mules and hinnies","Thousand heads (animals)","178.15",""
"1989","Belgium","Live horses, asses, mules and hinnies","Thousand heads (animals)","21.19",""
"1989","Belgium","Live horses","Thousand heads (animals)","18.48",""
"1989","Belgium","Live asses, mules and hinnies","Thousand heads (animals)","2.71",""
"1989","Bulgaria","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Bulgaria","Live horses","Thousand heads (animals)",":",""
"1989","Bulgaria","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Czechia","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Czechia","Live horses","Thousand heads (animals)",":",""
"1989","Czechia","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Denmark","Live horses, asses, mules and hinnies","Thousand heads (animals)","34.00",""
"1989","Denmark","Live horses","Thousand heads (animals)","34.00",""
"1989","Denmark","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1989","Germany (until 1990 former territory of the FRG)","Live horses, asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Germany (until 1990 former territory of the FRG)","Live horses","Thousand heads (animals)",":",""
"1989","Germany (until 1990 former territory of the FRG)","Live asses, mules and hinnies","Thousand heads (animals)",":",""
"1989","Federal Republic of Germany (former territory of the FRG only)","Live horses, asses, mules and hinnies","Thousand heads (animals)","374.95",""
"1989","Federal Republic of Germany (former territory of the FRG only)","Live horses","Thousand heads (animals)",":",""
"1989","Federal Republic of Germany (former territory of the FRG only)","Live asses, mules and hinnies","Thousand heads (animals)","0.00",""
"1989","Ireland","Live horses, asses, mules and hinnies","Thousand heads (animals)","54.50",""
"1989","Ireland","Live horses","Thousand heads (animals)","20.10",""
"1989","Ireland","Live asses, mules and hinnies","Thousand heads (animals)","34.40",""
"1989","Greece","Live horses, asses, mules and hinnies","Thousand heads (animals)","308.43",""
"1989","Greece","Live horses","Thousand heads (animals)","65.43",""
"1989","Greece","Live asses, mules and hinnies","Thousand heads (animals)","243.00",""
"1989","Spain","Live horses, asses, mules and hinnies","Thousand heads (animals)","505.00",""
"1989","Spain","Live horses","Thousand heads (animals)","248.00",""
"1989","Spain","Live asses, mules and hinnies","Thousand heads (animals)","257.00",""
