animals,time,tablename
Breeding pigs,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Breeding sows, live weight 50 kg or over","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
Covered sows,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Live swine, domestic species","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
"Piglets, live weight of under 20 kg","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lspig
