animals,time,tablename
Ewes and ewe-lambs put to the ram,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Live sheep,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Milk ewes and ewe-lambs put to the ram,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Non milk ewes and ewe-lambs put to the ram,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
Other sheep,"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",apro_mt_lssheep
