"TIME","GEO","MONTH","ANIMALS","UNIT","Value","Flag and Footnotes"
"2012","Spain","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","2,712.35",""
"2012","Spain","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","9,615.37",""
"2012","Spain","December","Other sheep","Thousand heads (animals)","4,011.66",""
"2012","France","December","Live sheep","Thousand heads (animals)","7,453.00",""
"2012","France","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","5,713.00",""
"2012","France","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","1,580.00",""
"2012","France","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","4,134.00",""
"2012","France","December","Other sheep","Thousand heads (animals)","1,739.00",""
"2012","Croatia","December","Live sheep","Thousand heads (animals)","679.00",""
"2012","Croatia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","550.00",""
"2012","Croatia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","179.00",""
"2012","Croatia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","371.00",""
"2012","Croatia","December","Other sheep","Thousand heads (animals)","129.00",""
"2012","Italy","December","Live sheep","Thousand heads (animals)","7,015.73",""
"2012","Italy","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","6,296.70",""
"2012","Italy","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","5,301.75",""
"2012","Italy","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","994.96",""
"2012","Italy","December","Other sheep","Thousand heads (animals)","719.03",""
"2012","Cyprus","December","Live sheep","Thousand heads (animals)","346.84",""
"2012","Cyprus","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","241.33",""
"2012","Cyprus","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","214.56",""
"2012","Cyprus","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","26.78",""
"2012","Cyprus","December","Other sheep","Thousand heads (animals)","105.50",""
"2012","Latvia","December","Live sheep","Thousand heads (animals)","83.63",""
"2012","Latvia","December","Ewes and ewe-lambs put to the ram","Thousand heads (animals)","50.37",""
"2012","Latvia","December","Milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
"2012","Latvia","December","Non milk ewes and ewe-lambs put to the ram","Thousand heads (animals)","0.00",""
