"TIME","GEO","ANIMALS","MONTH","UNIT","Value","Flag and Footnotes"
"2013","Ireland","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","144.33",""
"2013","Ireland","Covered sows","December","Thousand heads (animals)","98.47",""
"2013","Greece","Live swine, domestic species","December","Thousand heads (animals)","1,031.00",""
"2013","Greece","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","296.00",""
"2013","Greece","Breeding pigs","December","Thousand heads (animals)","178.00",""
"2013","Greece","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","166.00",""
"2013","Greece","Covered sows","December","Thousand heads (animals)","94.00",""
"2013","Spain","Live swine, domestic species","December","Thousand heads (animals)","25,494.72",""
"2013","Spain","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","7,055.32",""
"2013","Spain","Breeding pigs","December","Thousand heads (animals)","2,288.58",""
"2013","Spain","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","2,252.93",""
"2013","Spain","Covered sows","December","Thousand heads (animals)","1,491.70",""
"2013","France","Live swine, domestic species","December","Thousand heads (animals)","13,428.00",""
"2013","France","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","3,247.00",""
"2013","France","Breeding pigs","December","Thousand heads (animals)","1,056.00",""
"2013","France","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","1,043.00",""
"2013","France","Covered sows","December","Thousand heads (animals)","746.00",""
"2013","Croatia","Live swine, domestic species","December","Thousand heads (animals)","1,110.00",""
"2013","Croatia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","341.00",""
"2013","Croatia","Breeding pigs","December","Thousand heads (animals)","127.00",""
"2013","Croatia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","124.00",""
"2013","Croatia","Covered sows","December","Thousand heads (animals)","36.00",""
"2013","Italy","Live swine, domestic species","December","Thousand heads (animals)","8,561.28",""
"2013","Italy","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","1,450.08",""
"2013","Italy","Breeding pigs","December","Thousand heads (animals)","622.99",""
"2013","Italy","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","590.28",""
"2013","Italy","Covered sows","December","Thousand heads (animals)","463.21",""
"2013","Cyprus","Live swine, domestic species","December","Thousand heads (animals)","357.90",""
"2013","Cyprus","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","126.35",""
"2013","Cyprus","Breeding pigs","December","Thousand heads (animals)","35.55",""
"2013","Cyprus","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","35.07",""
"2013","Cyprus","Covered sows","December","Thousand heads (animals)","29.98",""
"2013","Latvia","Live swine, domestic species","December","Thousand heads (animals)","367.54",""
"2013","Latvia","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","87.07",""
"2013","Latvia","Breeding pigs","December","Thousand heads (animals)","44.94",""
"2013","Latvia","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","44.26",""
"2013","Latvia","Covered sows","December","Thousand heads (animals)","17.19",""
"2013","Lithuania","Live swine, domestic species","December","Thousand heads (animals)","754.60",""
"2013","Lithuania","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","126.90",""
"2013","Lithuania","Breeding pigs","December","Thousand heads (animals)","59.80",""
"2013","Lithuania","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","59.00",""
"2013","Lithuania","Covered sows","December","Thousand heads (animals)","48.50",""
"2013","Luxembourg","Live swine, domestic species","December","Thousand heads (animals)","89.55",""
"2013","Luxembourg","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","8.32",""
"2013","Luxembourg","Breeding pigs","December","Thousand heads (animals)","5.89",""
"2013","Luxembourg","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","5.82",""
"2013","Luxembourg","Covered sows","December","Thousand heads (animals)","4.60",""
"2013","Hungary","Live swine, domestic species","December","Thousand heads (animals)","3,004.00",""
"2013","Hungary","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","689.00",""
"2013","Hungary","Breeding pigs","December","Thousand heads (animals)","278.00",""
"2013","Hungary","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","273.00",""
"2013","Hungary","Covered sows","December","Thousand heads (animals)","180.00",""
"2013","Malta","Live swine, domestic species","December","Thousand heads (animals)","49.45",""
"2013","Malta","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","13.18",""
"2013","Malta","Breeding pigs","December","Thousand heads (animals)","5.28",""
"2013","Malta","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","4.97",""
"2013","Malta","Covered sows","December","Thousand heads (animals)","4.26",""
"2013","Netherlands","Live swine, domestic species","December","Thousand heads (animals)","12,013.00",""
"2013","Netherlands","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","4,920.00",""
"2013","Netherlands","Breeding pigs","December","Thousand heads (animals)","1,101.00",""
"2013","Netherlands","Breeding sows, live weight 50 kg or over","December","Thousand heads (animals)","1,095.00",""
"2013","Netherlands","Covered sows","December","Thousand heads (animals)","749.00",""
"2013","Austria","Live swine, domestic species","December","Thousand heads (animals)","2,895.84",""
"2013","Austria","Piglets, live weight of under 20 kg","December","Thousand heads (animals)","684.61",""
"2013","Austria","Breeding pigs","December","Thousand heads (animals)","254.37",""
