animals,month,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 	1959 
A2000,M05_M06,THS_HD,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	85119.68 	85787.24 	87552.55 	86516.10 	86510.02 	86602.37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	915.34 	926.71 	949.31 	958.93 	969.10 	1000.68 	1025.30 	1037.30 	1056.70 	1086.80 	1117.10 	1142.40 	1145.60 	1148.10 	1233.00 	1252.30 	1273.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,FR	: 	17862.57 	18200.48 	18469.77 	18736.99 	19432.72 	19559.30 	19462.90 	19285.60 	19179.20 	19281.50 	19714.30 	20002.00 	20029.30 	20298.60 	19358.40 	19261.14 	19357.63 	19558.21 	20041.18 	20531.03 	21001.26 	20589.50 	20494.00 	20713.00 	20887.00 	21626.00 	21241.20 	21242.00 	21190.00 	21597.00 	21937.00 	22096.00 	21680.00 	21003.10 	22274.40 	23570.50 	23688.50 	24220.00 	24338.40 	24533.10 	24550.00 	24522.10 	24631.30 	24429.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	713.00 	703.00 	722.00 	735.00 	768.00 	768.00 	798.00 	848.00 	882.00 	878.00 	927.00 	: 	959.00 	970.00 	1097.00 	1344.00 	1576.00 	1631.00 	1720.00 	1761.00 	1777.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,IE	: 	7358.88 	7314.43 	7208.62 	7348.50 	7363.50 	7221.20 	6963.52 	6926.10 	6902.65 	6754.15 	6493.01 	6606.59 	6890.72 	6902.06 	6890.88 	6977.84 	6991.81 	7015.70 	6999.51 	6992.24 	7049.80 	7037.40 	7387.10 	7640.10 	7532.70 	7313.60 	7033.90 	6996.40 	6981.70 	6951.30 	6911.90 	6816.10 	6642.30 	6464.20 	6544.70 	6616.20 	6819.30 	6806.50 	6810.00 	6727.60 	6743.70 	6934.80 	7178.00 	7124.80 	7124.40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,IS	: 	80.47 	85.21 	80.94 	: 	80.90 	79.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,IT	6086.97 	6173.66 	6115.87 	6016.06 	6170.29 	6118.29 	6183.18 	6146.32 	6197.10 	6052.85 	5913.73 	6151.33 	6337.85 	6342.71 	6461.42 	6411.94 	6487.82 	6551.35 	6781.12 	6859.86 	7245.54 	7194.00 	7245.00 	7261.00 	7333.00 	7309.00 	7361.00 	7273.00 	7533.00 	7568.00 	7970.40 	8228.90 	8656.00 	8852.10 	8882.60 	8924.00 	8971.30 	9229.00 	9467.60 	9119.70 	9043.50 	8931.40 	8905.40 	8895.30 	8748.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	895.40 	: 	: 	: 	944.00 	999.00 	988.00 	1048.00 	1120.00 	1313.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	196.31 	196.37 	191.52 	183.64 	186.73 	186.73 	188.60 	195.03 	204.30 	203.64 	207.86 	208.76 	211.80 	217.03 	214.05 	208.28 	208.96 	209.20 	219.34 	217.54 	214.62 	214.10 	217.21 	222.87 	225.20 	226.69 	226.11 	222.06 	224.36 	225.13 	223.99 	217.00 	212.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	379.30 	382.80 	398.20 	419.60 	415.50 	429.00 	491.20 	541.00 	574.70 	614.90 	664.50 	959.00 	1431.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,NL	3767.92 	3731.75 	3766.30 	3749.97 	3897.13 	4096.11 	4244.52 	4133.85 	4068.00 	4000.00 	3879.00 	3868.00 	3970.00 	3950.00 	3890.00 	3763.00 	3749.00 	3817.00 	3713.00 	3740.54 	3780.00 	4021.00 	4058.00 	4178.00 	4277.00 	4411.00 	4552.00 	4657.00 	4717.00 	4796.00 	4923.86 	5062.07 	4928.00 	4771.83 	4710.63 	4894.78 	5122.00 	5247.00 	5515.60 	5333.00 	5327.00 	5191.00 	5225.00 	5148.60 	4990.00 	4877.00 	4964.00 	4956.00 	4979.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,PL	: 	6401.00 	6344.00 	6358.00 	6201.00 	6143.00 	5939.00 	5960.69 	5920.41 	5859.54 	5776.77 	5761.88 	5723.94 	5700.02 	5756.64 	5696.19 	5606.36 	5483.29 	5353.42 	5488.94 	5532.73 	5734.34 	6082.60 	6555.00 	6955.30 	7307.40 	7136.50 	7305.60 	7695.70 	7642.60 	8221.40 	8844.00 	10048.90 	10732.60 	10322.10 	10522.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A2000,M05_M06,THS_HD,PT	: 	1723.46 	1750.58 	1711.86 	1722.37 	1722.16 	1664.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1323.60 	1323.60 	1346.00 	1337.46 	1339.40 	1345.00 	1386.00 	1388.00 	1348.00 	1380.00 	1387.24 	1330.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
