animals,unit,geo,year,population
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1996,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1996,10.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1996,: 
Live horses,Thousand heads (animals),Belgium,1996,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,652.444 
Live horses,Thousand heads (animals),Denmark,1996,: 
Live horses,Thousand heads (animals),Greece,1996,: 
Live horses,Thousand heads (animals),Spain,1996,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1996,: 
Live horses,Thousand heads (animals),France,1996,: 
Live horses,Thousand heads (animals),Ireland,1996,: 
Live horses,Thousand heads (animals),Italy,1996,: 
Live horses,Thousand heads (animals),Luxembourg,1996,: 
Live horses,Thousand heads (animals),Netherlands,1996,: 
Live horses,Thousand heads (animals),Portugal,1996,: 
Live horses,Thousand heads (animals),United Kingdom,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1996,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1996,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1996,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1995,230.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1995,151.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1995,19.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1995,0.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1995,9.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1995,71.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1995,77.600 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1995,27.200 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1995,62.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1995,635.800 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1995,806.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1995,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1995,10.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1995,: 
Live horses,Thousand heads (animals),Belgium,1995,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1995,0.000 
Live horses,Thousand heads (animals),Denmark,1995,: 
Live horses,Thousand heads (animals),Greece,1995,: 
Live horses,Thousand heads (animals),Spain,1995,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1995,: 
Live horses,Thousand heads (animals),France,1995,: 
Live horses,Thousand heads (animals),Ireland,1995,: 
Live horses,Thousand heads (animals),Italy,1995,: 
Live horses,Thousand heads (animals),Luxembourg,1995,: 
Live horses,Thousand heads (animals),Netherlands,1995,: 
Live horses,Thousand heads (animals),Portugal,1995,: 
Live horses,Thousand heads (animals),United Kingdom,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1995,0.000 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),France,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1995,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1995,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1994,201.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1994,133.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1994,18.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1994,598.848 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1994,7.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1994,78.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1994,78.200 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1994,26.800 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1994,62.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1994,621.700 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1994,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1994,784.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1994,8.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1994,11.000 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1994,: 
Live horses,Thousand heads (animals),Belgium,1994,: 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1994,598.848 
Live horses,Thousand heads (animals),Denmark,1994,: 
Live horses,Thousand heads (animals),Greece,1994,: 
Live horses,Thousand heads (animals),Spain,1994,: 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1994,: 
Live horses,Thousand heads (animals),France,1994,: 
Live horses,Thousand heads (animals),Ireland,1994,: 
Live horses,Thousand heads (animals),Italy,1994,: 
Live horses,Thousand heads (animals),Luxembourg,1994,: 
