animals,unit,geo,year,population
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1988,145.00 
Live horses,Thousand heads (animals),Belgium,1988,22.14 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1988,: 
Live horses,Thousand heads (animals),Denmark,1988,34.00 
Live horses,Thousand heads (animals),Greece,1988,65.43 
Live horses,Thousand heads (animals),Spain,1988,248.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1988,: 
Live horses,Thousand heads (animals),France,1988,318.10 
Live horses,Thousand heads (animals),Ireland,1988,20.10 
Live horses,Thousand heads (animals),Italy,1988,220.20 
Live horses,Thousand heads (animals),Luxembourg,1988,2.65 
Live horses,Thousand heads (animals),Netherlands,1988,68.30 
Live horses,Thousand heads (animals),Portugal,1988,25.00 
Live horses,Thousand heads (animals),United Kingdom,1988,145.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1988,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1988,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1988,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1988,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1988,243.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1988,257.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1988,418.14 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1988,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1988,175.14 
"Live asses, mules and hinnies",Thousand heads (animals),France,1988,12.70 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1988,34.40 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1988,128.04 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1988,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1988,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1988,120.00 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1988,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1987,23.14 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1987,371.20 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1987,34.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1987,308.43 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1987,505.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1987,1683.51 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1987,1375.09 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1987,284.30 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1987,54.50 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1987,396.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1987,2.65 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1987,64.29 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1987,145.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1987,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1987,145.00 
Live horses,Thousand heads (animals),Belgium,1987,23.14 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1987,: 
Live horses,Thousand heads (animals),Denmark,1987,34.00 
Live horses,Thousand heads (animals),Greece,1987,65.43 
Live horses,Thousand heads (animals),Spain,1987,248.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1987,: 
Live horses,Thousand heads (animals),France,1987,266.10 
Live horses,Thousand heads (animals),Ireland,1987,20.10 
Live horses,Thousand heads (animals),Italy,1987,254.00 
Live horses,Thousand heads (animals),Luxembourg,1987,2.65 
Live horses,Thousand heads (animals),Netherlands,1987,64.29 
Live horses,Thousand heads (animals),Portugal,1987,25.00 
Live horses,Thousand heads (animals),United Kingdom,1987,145.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1987,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1987,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1987,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1987,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1987,243.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1987,257.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1987,437.60 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1987,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1987,194.60 
"Live asses, mules and hinnies",Thousand heads (animals),France,1987,18.20 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1987,34.40 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1987,142.00 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1987,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1987,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1987,120.00 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1987,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1986,24.44 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1986,367.41 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1986,34.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1986,308.43 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1986,505.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1986,1682.94 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1986,1374.51 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1986,287.10 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1986,55.80 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1986,396.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1986,1.70 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1986,63.06 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1986,145.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1986,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1986,145.00 
Live horses,Thousand heads (animals),Belgium,1986,24.44 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1986,: 
Live horses,Thousand heads (animals),Denmark,1986,34.00 
Live horses,Thousand heads (animals),Greece,1986,65.43 
Live horses,Thousand heads (animals),Spain,1986,248.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1986,: 
Live horses,Thousand heads (animals),France,1986,268.20 
Live horses,Thousand heads (animals),Ireland,1986,21.90 
Live horses,Thousand heads (animals),Italy,1986,254.00 
Live horses,Thousand heads (animals),Luxembourg,1986,1.70 
Live horses,Thousand heads (animals),Netherlands,1986,63.06 
Live horses,Thousand heads (animals),Portugal,1986,25.00 
Live horses,Thousand heads (animals),United Kingdom,1986,145.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1986,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1986,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1986,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1986,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1986,243.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1986,257.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1986,437.80 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1986,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1986,194.80 
"Live asses, mules and hinnies",Thousand heads (animals),France,1986,18.90 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1986,33.90 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1986,142.00 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1986,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1986,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1986,120.00 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1986,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1985,26.07 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1985,368.90 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1985,34.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1985,328.72 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1985,540.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1985,1712.65 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1985,1383.94 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1985,290.80 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1985,57.70 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1985,397.70 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1985,1.70 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1985,62.07 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1985,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1985,145.00 
Live horses,Thousand heads (animals),Belgium,1985,26.07 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1985,: 
Live horses,Thousand heads (animals),Denmark,1985,34.00 
Live horses,Thousand heads (animals),Greece,1985,66.72 
Live horses,Thousand heads (animals),Spain,1985,252.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1985,: 
Live horses,Thousand heads (animals),France,1985,271.20 
Live horses,Thousand heads (animals),Ireland,1985,24.00 
Live horses,Thousand heads (animals),Italy,1985,248.10 
Live horses,Thousand heads (animals),Luxembourg,1985,1.70 
Live horses,Thousand heads (animals),Netherlands,1985,62.07 
Live horses,Thousand heads (animals),Portugal,1985,: 
Live horses,Thousand heads (animals),United Kingdom,1985,145.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1985,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1985,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1985,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1985,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1985,262.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1985,288.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1985,464.90 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1985,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1985,202.90 
"Live asses, mules and hinnies",Thousand heads (animals),France,1985,19.60 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1985,33.70 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1985,149.60 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1985,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1985,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1985,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1985,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1984,27.54 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1984,370.21 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1984,35.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1984,350.18 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1984,559.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1984,1786.75 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1984,1436.57 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1984,332.21 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1984,57.60 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1984,401.10 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1984,1.60 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1984,64.32 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1984,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1984,147.00 
Live horses,Thousand heads (animals),Belgium,1984,27.54 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1984,: 
Live horses,Thousand heads (animals),Denmark,1984,35.00 
Live horses,Thousand heads (animals),Greece,1984,73.18 
Live horses,Thousand heads (animals),Spain,1984,254.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1984,: 
Live horses,Thousand heads (animals),France,1984,308.30 
Live horses,Thousand heads (animals),Ireland,1984,24.90 
Live horses,Thousand heads (animals),Italy,1984,246.30 
Live horses,Thousand heads (animals),Luxembourg,1984,1.60 
Live horses,Thousand heads (animals),Netherlands,1984,64.32 
Live horses,Thousand heads (animals),Portugal,1984,: 
Live horses,Thousand heads (animals),United Kingdom,1984,147.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1984,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1984,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1984,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1984,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1984,277.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1984,305.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1984,488.41 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1984,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1984,211.41 
"Live asses, mules and hinnies",Thousand heads (animals),France,1984,23.91 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1984,32.70 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1984,154.80 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1984,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1984,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1984,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1984,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1983,28.78 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1983,353.60 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1983,33.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1983,373.02 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1983,582.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1983,1805.05 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1983,1432.03 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1983,331.57 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1983,60.40 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1983,413.90 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1983,1.36 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1983,60.42 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1983,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1983,149.00 
Live horses,Thousand heads (animals),Belgium,1983,28.78 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1983,: 
Live horses,Thousand heads (animals),Denmark,1983,33.00 
Live horses,Thousand heads (animals),Greece,1983,80.02 
Live horses,Thousand heads (animals),Spain,1983,253.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1983,: 
Live horses,Thousand heads (animals),France,1983,306.35 
Live horses,Thousand heads (animals),Ireland,1983,26.90 
Live horses,Thousand heads (animals),Italy,1983,253.40 
Live horses,Thousand heads (animals),Luxembourg,1983,1.36 
Live horses,Thousand heads (animals),Netherlands,1983,60.42 
Live horses,Thousand heads (animals),Portugal,1983,: 
Live horses,Thousand heads (animals),United Kingdom,1983,149.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1983,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1983,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1983,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1983,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1983,293.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1983,329.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1983,512.21 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1983,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1983,219.21 
"Live asses, mules and hinnies",Thousand heads (animals),France,1983,25.21 
"Live asses, mules and hinnies",Thousand heads (animals),Ireland,1983,33.50 
"Live asses, mules and hinnies",Thousand heads (animals),Italy,1983,160.50 
"Live asses, mules and hinnies",Thousand heads (animals),Luxembourg,1983,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Netherlands,1983,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Portugal,1983,: 
"Live asses, mules and hinnies",Thousand heads (animals),United Kingdom,1983,0.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Albania,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Belgium,1982,30.69 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Bulgaria,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Czechia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1982,369.10 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Denmark,1982,41.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Greece,1982,394.43 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Spain,1982,598.00 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1982,1860.15 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1982,1465.72 
"Live horses, asses, mules and hinnies",Thousand heads (animals),France,1982,330.03 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Croatia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Hungary,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Ireland,1982,61.50 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Italy,1982,421.70 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Lithuania,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Luxembourg,1982,1.39 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Latvia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),North Macedonia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Netherlands,1982,59.31 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Poland,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Portugal,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Romania,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovenia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),Slovakia,1982,: 
"Live horses, asses, mules and hinnies",Thousand heads (animals),United Kingdom,1982,151.00 
Live horses,Thousand heads (animals),Belgium,1982,30.25 
Live horses,Thousand heads (animals),Germany (until 1990 former territory of the FRG),1982,: 
Live horses,Thousand heads (animals),Denmark,1982,41.00 
Live horses,Thousand heads (animals),Greece,1982,86.43 
Live horses,Thousand heads (animals),Spain,1982,251.00 
Live horses,Thousand heads (animals),European Community - 12 countries (1986-1994),1982,: 
Live horses,Thousand heads (animals),France,1982,303.93 
Live horses,Thousand heads (animals),Ireland,1982,28.00 
Live horses,Thousand heads (animals),Italy,1982,255.80 
Live horses,Thousand heads (animals),Luxembourg,1982,1.39 
Live horses,Thousand heads (animals),Netherlands,1982,59.31 
Live horses,Thousand heads (animals),Portugal,1982,: 
Live horses,Thousand heads (animals),United Kingdom,1982,151.00 
"Live asses, mules and hinnies",Thousand heads (animals),Belgium,1982,0.44 
"Live asses, mules and hinnies",Thousand heads (animals),Germany (until 1990 former territory of the FRG),1982,: 
"Live asses, mules and hinnies",Thousand heads (animals),Federal Republic of Germany (former territory of the FRG only),1982,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Denmark,1982,0.00 
"Live asses, mules and hinnies",Thousand heads (animals),Greece,1982,308.00 
"Live asses, mules and hinnies",Thousand heads (animals),Spain,1982,347.00 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 10 countries (1981-1985),1982,533.94 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 12 countries (1986-1994),1982,: 
"Live asses, mules and hinnies",Thousand heads (animals),European Community - 9 countries (1973-1980),1982,225.94 
"Live asses, mules and hinnies",Thousand heads (animals),France,1982,26.10 
