species;year;table_name
Total Horses less than 3 years;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2006;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2007;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2008;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2009;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2010;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2011;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses 3 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses 3 years and older;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses used primary for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses used primary for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses used primary for draft purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for transportation;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses for other purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses for other purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses for other purposes;2012;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses of all ages;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses of all ages;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses of all ages;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses less than 3 years;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Male Horses less than 3 years;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Female Horses less than 3 years;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
Total Horses 3 years and older;2013;Number of Horses, Mules, Donkeys and Camels by age and Purpose
