species;year;table_name
Female Local breed;2004;Number of Sheep by Age and Purpose
Total Local breed;2004;Number of Sheep by Age and Purpose
Male Exotic;2004;Number of Sheep by Age and Purpose
Female Exotic;2004;Number of Sheep by Age and Purpose
Total Exotic;2004;Number of Sheep by Age and Purpose
Male Hybrid;2004;Number of Sheep by Age and Purpose
Female Hybrid;2004;Number of Sheep by Age and Purpose
Total Hybrid;2004;Number of Sheep by Age and Purpose
Male Sheep less than 6 months;2005;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2005;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2005;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2005;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2005;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2005;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2005;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2005;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2005;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2005;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2005;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2005;Number of Sheep by Age and Purpose
Male Sheep for mutton;2005;Number of Sheep by Age and Purpose
Female Sheep for mutton;2005;Number of Sheep by Age and Purpose
Total Sheep for mutton;2005;Number of Sheep by Age and Purpose
Male Sheep for wool;2005;Number of Sheep by Age and Purpose
Female Sheep for wool;2005;Number of Sheep by Age and Purpose
Total Sheep for wool;2005;Number of Sheep by Age and Purpose
Male Sheep for breeding;2005;Number of Sheep by Age and Purpose
Female Sheep for breeding;2005;Number of Sheep by Age and Purpose
Total Sheep for breeding;2005;Number of Sheep by Age and Purpose
Male Sheep for other purposes;2005;Number of Sheep by Age and Purpose
Female Sheep for other purposes;2005;Number of Sheep by Age and Purpose
Total Sheep for other purposes;2005;Number of Sheep by Age and Purpose
Male Grand Total;2005;Number of Sheep by Age and Purpose
Female Grand Total;2005;Number of Sheep by Age and Purpose
Total Grand Total;2005;Number of Sheep by Age and Purpose
Male Local breed;2005;Number of Sheep by Age and Purpose
Female Local breed;2005;Number of Sheep by Age and Purpose
Total Local breed;2005;Number of Sheep by Age and Purpose
Male Exotic;2005;Number of Sheep by Age and Purpose
Female Exotic;2005;Number of Sheep by Age and Purpose
Total Exotic;2005;Number of Sheep by Age and Purpose
Male Hybrid;2005;Number of Sheep by Age and Purpose
Female Hybrid;2005;Number of Sheep by Age and Purpose
Total Hybrid;2005;Number of Sheep by Age and Purpose
Male Sheep less than 6 months;2006;Number of Sheep by Age and Purpose
Female Sheep less than 6 months;2006;Number of Sheep by Age and Purpose
Total Sheep less than 6 months;2006;Number of Sheep by Age and Purpose
Male Sheep 6 months and less than 1 year;2006;Number of Sheep by Age and Purpose
Female Sheep 6 months and less than 1 year;2006;Number of Sheep by Age and Purpose
Total Sheep 6 months and less than 1 year;2006;Number of Sheep by Age and Purpose
Male Sheep 1 year and less than 2 years;2006;Number of Sheep by Age and Purpose
Female Sheep 1 year and less than 2 years;2006;Number of Sheep by Age and Purpose
Total Sheep 1 year and less than 2 years;2006;Number of Sheep by Age and Purpose
Male Sheep 2 years and older;2006;Number of Sheep by Age and Purpose
Female Sheep 2 years and older;2006;Number of Sheep by Age and Purpose
Total Sheep 2 years and older;2006;Number of Sheep by Age and Purpose
Male Sheep for mutton;2006;Number of Sheep by Age and Purpose
Female Sheep for mutton;2006;Number of Sheep by Age and Purpose
Total Sheep for mutton;2006;Number of Sheep by Age and Purpose
Male Sheep for wool;2006;Number of Sheep by Age and Purpose
