species;year;table_name
Male Goats 1 year and less than 2 years;2006;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2006;Number of Goats by Age and Purpose
Total Goats 2 years and older;2006;Number of Goats by Age and Purpose
Male Goats 2 years and older;2006;Number of Goats by Age and Purpose
Female Goats 2 years and older;2006;Number of Goats by Age and Purpose
Total Goats for meat;2006;Number of Goats by Age and Purpose
Male Goats for meat;2006;Number of Goats by Age and Purpose
Female Goats for meat;2006;Number of Goats by Age and Purpose
Total Dairy Goats;2006;Number of Goats by Age and Purpose
Total Goats for breeding;2006;Number of Goats by Age and Purpose
Male Goats for breeding;2006;Number of Goats by Age and Purpose
Female Goats for breeding;2006;Number of Goats by Age and Purpose
Total Goats for other purposes;2006;Number of Goats by Age and Purpose
Male Goats for other purposes;2006;Number of Goats by Age and Purpose
Female Goats for other purposes;2006;Number of Goats by Age and Purpose
Total Grand Total;2006;Number of Goats by Age and Purpose
Male Grand Total;2006;Number of Goats by Age and Purpose
Female Grand Total;2006;Number of Goats by Age and Purpose
Total Local breed;2006;Number of Goats by Age and Purpose
Male Local breed;2006;Number of Goats by Age and Purpose
Female Local breed;2006;Number of Goats by Age and Purpose
Total Exotic;2006;Number of Goats by Age and Purpose
Male Exotic;2006;Number of Goats by Age and Purpose
Female Exotic;2006;Number of Goats by Age and Purpose
Total Hybrid;2006;Number of Goats by Age and Purpose
Male Hybrid;2006;Number of Goats by Age and Purpose
Female Hybrid;2006;Number of Goats by Age and Purpose
Total Goats less than 6 months;2007;Number of Goats by Age and Purpose
Male Goats less than 6 months;2007;Number of Goats by Age and Purpose
Female Goats less than 6 months;2007;Number of Goats by Age and Purpose
Total Goats 6 months and less than 1 year;2007;Number of Goats by Age and Purpose
Male Goats 6 months and less than 1 year;2007;Number of Goats by Age and Purpose
Female Goats 6 months and less than 1 year;2007;Number of Goats by Age and Purpose
Total Goats 1 year and less than 2 years;2007;Number of Goats by Age and Purpose
Male Goats 1 year and less than 2 years;2007;Number of Goats by Age and Purpose
Female Goats 1 year and less than 2 years;2007;Number of Goats by Age and Purpose
Total Goats 2 years and older;2007;Number of Goats by Age and Purpose
Male Goats 2 years and older;2007;Number of Goats by Age and Purpose
Female Goats 2 years and older;2007;Number of Goats by Age and Purpose
Total Goats for meat;2007;Number of Goats by Age and Purpose
Male Goats for meat;2007;Number of Goats by Age and Purpose
Female Goats for meat;2007;Number of Goats by Age and Purpose
Total Dairy Goats;2007;Number of Goats by Age and Purpose
Total Goats for breeding;2007;Number of Goats by Age and Purpose
Male Goats for breeding;2007;Number of Goats by Age and Purpose
Female Goats for breeding;2007;Number of Goats by Age and Purpose
Total Goats for other purposes;2007;Number of Goats by Age and Purpose
Male Goats for other purposes;2007;Number of Goats by Age and Purpose
Female Goats for other purposes;2007;Number of Goats by Age and Purpose
Total Grand Total;2007;Number of Goats by Age and Purpose
Male Grand Total;2007;Number of Goats by Age and Purpose
Female Grand Total;2007;Number of Goats by Age and Purpose
